, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
29-Apr-11,275,349.5313701,2447.705824,,1.9866535,255.903571,,0.045125014,10.96958998,42,78.6817201,6944.55391
02-May-11,"1,258",1212.576569,2379.019421,354,336.3993327,322.9261673,,0.002256251,#DIV/0!,456,437.134086,5374.735095
03-May-11,"8,602",8232.528828,4383.714709,396,393.0199666,206.1274975,,0.000112813,#DIV/0!,168,181.4567043,501.006213
04-May-11,"3,760",3983.626441,5014.392885,528,521.2509983,220.3673033,21,19.95000564,12.12429052,102,105.9728352,271.4870215
05-May-11,"1,266",1401.881322,5227.8927,6,31.76254992,309.4378991,,0.997500282,12.12429052,336,324.4986418,209.4906686
06-May-11,370,421.5940661,3079.707056,,1.588127496,307.5186719,,0.049875014,12.12429052,114,124.5249321,185.7736459
09-May-11,"2,346",2249.779703,2012.760189,312,296.4794064,347.2938822,,0.002493751,#DIV/0!,432,416.6262466,252.8260879
10-May-11,"5,819",5640.538985,2415.743556,432,425.2239703,195.5516657,,0.000124688,#DIV/0!,54,72.13131233,300.1934878
11-May-11,"6,369",6332.576949,2378.607938,396,397.4611985,196.2782059,21,19.95000623,12.12428366,,3.606565617,274.4926909
12-May-11,"1,066",1329.328847,3697.153037,6,25.57305993,239.7649833,,0.997500312,12.12428366,,0.180328281,209.3623611
13-May-11,250,303.9664424,3132.221734,,1.278652996,226.6391481,,0.049875016,12.12428366,,0.009016414,#DIV/0!
16-May-11,"2,188",2093.798322,3288.939341,240,228.0639326,264.7198214,,0.002493751,#DIV/0!,,0.000450821,#DIV/0!
17-May-11,"7,649",7371.239916,3443.583351,414,404.7031966,174.6998404,,0.000124688,#DIV/0!,6,5.700022541,3.463841334
18-May-11,"4,255",4410.811996,3834.961944,684,670.0351598,237.7441251,24,22.80000623,13.85633447,"6,858",6515.385001,3956.178753
19-May-11,"1,276",1432.7406,4098.709681,,33.50175799,193.7170837,,1.140000312,13.85633447,384,690.5692501,5308.732837
20-May-11,186,248.33703,2651.563035,,1.6750879,161.2520846,,0.057000016,13.85633447,"2,190",2115.028463,5378.853335
23-May-11,"2,272",2170.816851,2271.315345,366,347.7837544,210.3430861,,0.002850001,#DIV/0!,"5,628",5452.351423,4170.657168
